Country,Alcoholic Beverages,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,region
afghanistan,0.0028,0.3946,0.0,49.6194,0.4198,0.07,10.699,2.404,15.1656,0.1456,0.4114,0.14,0.5906,0.1148,1.7604,0.6156,2.6978,0.0,0.154,1.069,13.5284,4.5,29.8,0.142134196465269,0.0061857788738183,0.12337392108508,0.0125744965063707,38928000.0,Asia
albania,3.3438,0.2714,0.0,11.5634,1.163,0.4252,13.5722,3.769,31.4426,0.2246,0.4648,1.8754,0.476,0.0016,3.6192,0.211,3.0734,0.0,0.303,0.6522,23.5506,22.3,6.2,2.96730091613813,0.0509513742071882,1.79263565891473,1.12371388301621,2838000.0,Europe
algeria,0.5422,0.0564,0.0,27.3632,1.0554,0.4832,12.7602,2.261,15.2378,0.3342,0.174,0.6986,0.9566,0.1114,8.268,0.4432,3.6684,0.0,0.2304,2.062,23.2968,26.6,3.9,0.244897085014767,0.0065581531663548,0.167572198300156,0.0707667335482562,44357000.0,Africa
angola,11.6174,0.112,0.0,18.217,0.1174,3.5414,12.001,4.1142,1.6622,0.233,0.31,0.8372,1.3014,0.0018,36.2204,0.1016,3.699,0.0,0.0122,1.2926,4.6082,6.8,25.0,0.0616874730951356,0.0014605497816862,0.0568076994034807,0.0034192239099686,32522000.0,Africa
argentina,8.5344,0.4468,0.0,16.8204,1.9958,0.9386,12.087,14.0842,20.4656,0.0,0.7558,0.0232,0.1056,0.0244,6.084,0.8756,6.1072,0.0,0.04,1.9082,8.7006,28.5,4.6,4.35614738744298,0.108226634638694,3.90519205765035,0.342728695153933,45377000.0,Americas
armenia,0.8028,0.3666,0.0,14.5964,1.1566,0.5792,12.1978,4.535,19.8814,0.471,0.608,0.1798,0.2882,0.011,4.0718,0.3726,5.3158,0.0,0.2216,0.941,33.4038,20.9,4.3,5.68122462787551,0.105345060893099,5.3984100135318,0.177469553450609,2956000.0,Asia
australia,11.0872,0.6286,0.0066,10.9958,0.8856,2.8528,8.3766,13.4098,24.2036,1.0586,0.848,0.7388,0.1092,0.0916,5.5768,0.5856,5.0728,0.0,0.6352,2.5596,10.2812,30.4,2.5,0.112025316455696,0.0035295488079521,0.101289120136678,0.0072066475110662,25754000.0,Oceania
austria,14.043,1.711,0.0022,12.4232,1.5768,1.5124,9.2138,9.362,24.7552,0.001,0.2104,0.5366,0.0912,0.0988,6.1096,0.8212,5.2188,0.0,0.4734,1.6218,10.2196,21.9,2.5,4.73998205070675,0.0896791563832174,4.49687009199013,0.153432802333408,8914000.0,Europe
azerbaijan,7.1938,0.5088,0.0,26.1796,1.1186,0.404,9.5976,4.3026,16.6424,0.029,0.3068,0.029,0.0694,0.0088,9.4082,0.1174,3.1046,0.0,0.3812,0.447,20.151,19.9,2.5,2.28553620894341,0.0312227938266719,2.22557380292837,0.0287396121883657,10108000.0,Asia
bangladesh,0.0062,0.0312,0.0,59.609,0.5914,5.0442,5.731,0.8382,3.7556,0.0394,0.1266,0.164,1.413,0.639,10.6756,0.1058,1.857,0.39,0.1868,1.523,7.281,3.4,14.7,0.316691105889558,0.0048230659152341,0.284343586029009,0.027524453945315,169809000.0,Asia
barbados,7.13,0.4424,0.0,16.1332,1.5584,6.55,11.7446,11.6954,4.4082,6.604,0.3408,1.7468,1.2782,0.313,8.1624,0.3442,8.6688,0.0,0.1704,1.7354,10.945,24.8,3.9,0.58397212543554,0.0062717770034843,0.470034843205575,0.107665505226481,287000.0,Americas
belarus,7.5126,0.6706,0.0,12.5628,1.513,1.6744,7.133,8.3786,12.4208,1.007,0.759,0.144,0.002,0.0134,18.3382,0.2284,8.031,0.0,0.2798,1.7608,17.5718,26.6,2.5,2.740896,0.018912,2.612704,0.10928,9375000.0,Europe
belgium,10.746,1.7118,0.002,13.3408,1.2974,2.265,8.3246,6.474,23.2688,0.0,0.437,0.193,0.2264,0.0818,8.8314,0.4922,7.3028,0.0,0.2618,1.128,13.6322,24.5,2.5,6.28632218844985,0.185427702996092,0.0,6.10089448545376,11515000.0,Europe
belize,6.7606,0.1664,0.0,22.14,0.7846,2.065,25.2188,6.978,7.2634,3.5306,0.1138,0.788,2.2518,0.039,2.1228,0.1698,7.9596,0.0,0.068,2.0396,9.5442,22.4,7.5,2.8727923627685,0.0730310262529833,2.73961813842482,0.0601431980906921,419000.0,Americas
benin,11.8038,0.0264,0.0,19.246,0.1422,2.4534,5.9046,2.8214,1.8916,0.29,0.1658,1.3256,1.4734,0.8922,39.5542,0.0084,1.327,0.0,0.8056,1.4762,8.3928,8.2,10.1,0.0343435170775657,0.0004504873454009,0.0291833893029732,0.0047096404291915,12209000.0,Africa
bolivia,5.7912,0.1778,0.0,24.6158,1.3252,0.4614,15.0176,12.8196,8.5746,0.3322,0.2012,0.2748,0.7308,0.0844,15.463,0.4166,5.1448,0.0,1.4168,0.7146,6.4448,18.7,17.1,1.95244562881458,0.0924353133327602,1.43861428694232,0.4213960285395,11633000.0,Americas
bosnia and herzegovina,9.5752,0.117,0.0,17.4304,0.5152,0.493,9.2818,3.633,19.8886,0.972,0.2178,0.1926,0.5436,0.7844,8.099,0.7008,3.2782,0.0,0.1644,0.841,23.2788,19.4,2.5,3.76208473026516,0.145534897896983,2.96031697653155,0.656232855836635,3281000.0,Europe
botswana,8.5434,0.6804,0.0,22.864,0.2804,0.7102,5.693,4.568,22.0434,3.2184,0.6112,0.4038,0.5458,0.3252,9.5228,0.2672,9.5714,0.0018,0.03,2.013,8.1116,16.1,26.4,1.01437203280104,0.0070349589987052,0.844799309451877,0.162537764350453,2317000.0,Africa
brazil,8.7258,0.5606,0.0,16.8584,1.0084,1.1798,12.1872,12.9568,18.6832,0.0012,0.3024,1.4186,1.8508,0.0142,6.7918,0.6048,5.551,2.0222,0.1026,2.5646,6.614,22.3,2.5,4.46016514645063,0.108602912016316,3.97946858534927,0.372093649085038,211812000.0,Americas
bulgaria,14.1668,0.4976,0.0206,17.75,1.1848,0.969,7.9624,8.0146,23.1984,0.4508,0.6116,0.69,0.3024,1.2096,3.7152,0.5636,4.7254,0.0,0.1594,1.417,12.4074,27.4,3.6,3.22725566623358,0.134416053125451,2.7889562581204,0.303883354987729,6927000.0,Europe
burkina faso,30.7412,0.0462,0.0,42.401,0.4812,1.4154,1.3192,2.4058,4.639,0.2746,0.3328,3.7328,2.8588,0.0642,1.9446,0.0422,2.2574,0.0,0.1424,1.9006,3.0072,4.5,20.0,0.053709993780797,0.000641056307707,0.0480313830550639,0.0050375544180261,20903000.0,Africa
cabo verde,7.9628,0.0726,0.0058,29.5922,0.9204,2.1196,9.2804,6.145,10.0384,2.238,0.21,1.0788,2.278,0.5462,7.686,0.3342,4.2792,0.0,0.0516,1.8942,13.2676,10.6,12.6,2.5863309352518,0.0242805755395683,2.46115107913669,0.10089928057554,556000.0,Africa
cambodia,9.1566,0.0754,0.0,49.7812,0.262,8.4738,4.6368,2.4494,0.657,0.9706,0.2422,1.58,0.9806,0.1568,6.1038,0.252,5.9846,1.6734,0.0476,0.5022,6.0144,3.5,16.4,0.003058656514164,0.0,0.0029295992772794,0.0001290572368845,15497000.0,Asia
cameroon,10.312,0.0292,0.0,20.6224,0.0512,2.6412,14.4302,1.752,1.2578,0.1434,0.1346,1.7316,2.9468,0.566,22.7766,0.0468,1.2958,0.0,0.2648,1.2796,17.718,9.5,9.9,0.118031430934657,0.001782088878863,0.110914354462742,0.0053349875930521,26598000.0,Africa
